,text,n_tokens
0,"WebSquare.uiplugin.tabControl은 탭 컨트롤을 구현하는 HTML 컴포넌트이다. 이 컴포넌트는 동적으로 탭을 생성하거나 삭제할 수 있으며, 웹 접근성 지원 기능을 사용할 수 있다. 또한 adaptive 모드로 브라우저의 너비에 따라 레이아웃을 변경할 수 있으며, 탭 스크롤 버튼을 클릭하여 옆의 탭으로 이동하여 해당 탭을 활성화하는 기능을 사용할 수 있다.
이 컴포넌트의 속성으로는 accessibility, adaptive, adaptiveThreshold, alwaysDraw, changeActiveTab, changeActiveTabBeforeselect, class, closable, confirmFalseAction, confirmMessage, confirmTrueAction, focusOnStart, frameModal, id, keepDisabledTab, noUseTitle, preventTabClickEvent, processMsgFrame, selectedIndex, tableRender, tabMove, tabPosition, tabRole, tabScroll, tabScrollAuto, useAccessibilityMenu, useATagBtn, useConfirmMessage, useLocale, useMoveNextTabFocus, userData1, userData2, userData3, useTitleTooltip, windowMaxNum 등이 있다.
이 컴포넌트의 이벤트로는 onaftertabmove, onbeforeselect, onbeforetabclose, onbeforetabmove, onchange, ondrawcomplete, onscrollleftbtnclick, onscrollrightbtnclick, onsubmenubtnclick, ontabclick, ontabclose, ontabload 등이 있다.
이 컴포넌트의 메소드로는 activateTab, addClass, addTab, bind, changeClass, createFrame, deleteAllTabs, deleteTab, disableTab, enableTab, focus, getDisabled, getFrame, getGenerator, getID, getInitStyle, getLabelText, getOpacity, getOriginalID, getPluginName, getPosition, getReadOnly, getScope 등이 있다.",462
1,"이 함수들은 웹스퀘어 컴포넌트에서 사용할 수 있는 다양한 기능을 제공한다. getScopeWindow() 함수는 scope=""true""인 WFrame의 자식 컴포넌트인 경우, 부모 WFrame 객체를 반환한다. getSelectedTabID() 함수는 현재 선택된 tab의 ID를 반환하며, getSelectedTabIndex() 함수는 현재 선택된 tab의 index를 반환한다. getSize(sizeName) 함수는 웹스퀘어 컴포넌트의 크기(width, height)를 반환하며, getStyle(propertyName) 함수는 웹스퀘어 컴포넌트의 CSS 속성 값을 반환한다. getTabCount(options) 함수는 현재 tab 개수를 반환하며, getTabID(tabIndex) 함수는 tab index에 해당하는 ID를 리턴한다. getTabIndex(tabID) 함수는 tab의 ID로 해당 tab의 index를 반환하며, getTabInfo() 함수는 각 tab에 대한 정보를 배열에 담아 리턴한다. getTitle() 함수는 컴포넌트의 title 속성 값을 반환하며, getUdcHome() 함수는 UDC 객체가 자신을 정의한 UDC 파일 경로를 파일명을 포함해서 반환한다. getUdcRoot() 함수는 UDC 객체가 자신을 정의한 UDC 파일 경로를 반환한다. getUserData(key) 함수는 setUserData로 웹스퀘어 컴포넌트에 설정한 key의 value 혹은 사용자가 직접 페이지 소스(XML)에 속성으로 정의한 value를 반환한다. getWindow(idx) 함수는 tab index 또는 id에 해당하는 window 객체를 반환한다. hasClass(className) 함수는 웹스퀘어 컴포넌트가 특정 class를 포함하고 있는지 확인하며, hide() 함수는 웹스퀘어 컴포넌트를 화면에서 숨긴다. hideTab(tabIndex) 함수는 tab을 숨김(hidden)처리 한다. isLoaded(idx) 함수는 tab의 index에 해당하는 화면의 출력유무를 반환한다. removeClass(className) 함수는 웹스퀘어 컴포넌트에서 class를 삭제하며, setContentsHeight(height) 함수는 컨텐츠 영역의 높이(px단위)를 설정한다. setDisabled(disabled) 함수는 웹스퀘어 컴포넌트의 disabled 속성을 설정하며, setEventPause(evList, flag) 함수는 지정한 이벤트를 중단한다. setHeight(height) 함수는 tabControl의 height를 설정하며 px단위로 적용된다. setInitStyle(property) 함수는 컴포넌트의 초기 스타일을 복구한다. setLabelText(idx, label) 함수는 tab의 label을 설정한다. setOpacity(value) 함수는 웹스퀘어 컴포넌트의 불투명도를 설정한다. setPosition(left, top, mode) 함수는 웹스퀘어 컴포넌트의 위치(left, top)를 설정한다. setReadOnly(readOnly) 함수는 웹스퀘어 컴포넌트의 readOnly 속성을 설정하며, setSelectedTabIndex(tabIndex) 함수는 tab의 index에 해당하는 tab을 선택한다. setStyle(propertyName, value) 함수는 웹스퀘어 컴포넌트의 CSS 속성을 설정하며, setTabHTML(tabID, tabHTML) 함수는 tabHTML 값을 동적으로 변경한다. setTabOrder(tabOrderArr) 함수는 새로운 tab순서에 대한 배열을 받아 해당 순서대로 tab을 재배치시킨다. setUserData(key, value) 함수는 웹스퀘어 컴포넌트에 임의의 데이터를 설정한다. setWidth(width) 함수는 tabControl의 width를 설정하며 px단위로 적용된다. setWindowMaxNum(windowMaxNum) 함수는 tabControl에서 열 수 있는 최대 window 개수를 설정한다. show(displayType) 함수는 웹스퀘어 컴포넌트를 화면에 표시하며, showTab(tabIndex) 함수는 hide된 tab을 보여둔다. toggleClass(className) 함수는 웹스퀘어 컴포넌트에서 특정 class를 제거하거나 추가한다. trigger(type, array) 함수는 컴포넌트에서 특정 이벤트를 발생시킨다. unbind(type, function) 함수는 컴포넌트에서 이벤트를 제거한다. accessibility 속성은 웹 접근성 지원 기능을 사용할지에 대한 여부를 설정한다. adaptive 속성은 browser의 width에 따른 적응형 웹 모드로 adaptiveThreshold 속성값(width값)을 참조하여 동작한다. alwaysDraw 속성은 TabControl 컴포넌트가 포함하는 모든 탭의 컴포넌트의 렌더링 여부를 결정한다. changeActiveTab 속성은 탭 스크롤 버튼(tabScroll=""true"")을 클릭할 경우 옆의 탭으로 이동하여 해당 탭을 활성화하는 기능 사용 여부를 설정한다. class 속성은 HTML의 class 속성과 동일한 기능을 제공한다.",1362
2,"tabControl 컴포넌트는 여러 개의 탭을 관리하고, 각 탭에 대한 설정을 제공한다. closable 속성은 개별 tab에서 닫기 버튼을 활성화할지 여부를 설정하며, confirmFalseAction은 중복 확인 confirm에서 취소를 선택했을 때의 컨텐츠 로딩 방식을 설정한다. confirmTrueAction은 중복 확인 confirm에서 확인을 선택했을 때의 컨텐츠 로딩 방식을 설정하며, focusOnStart은 화면 로딩 시 활성화된 탭에 포커스를 이동시킬지 여부를 설정한다. tabScroll은 상단 탭들의 이동과 선택의 편의성을 제공하는 기능의 사용 여부를 설정하며, tabMove는 드래그-앤-드롭을 통해 탭 순서 변경을 허용할지 여부를 설정한다. 이외에도 다양한 속성들이 제공되며, 각 속성의 기본값과 사용 방법을 알아두면 유용하다. 또한, onaftertabmove 이벤트를 통해 tab이동이 발생한 직후에 추가적인 작업을 수행할 수 있다.",342
3,"이벤트
- onbeforeselect: tab이 선택되기 전에 발생되며, return을 통해 tab의 이동을 제어할 수 있다. selectedIndex, index를 parameter로 받는다.
- onbeforetabclose: tab이 close되기 전에 발생되며, return을 통해 close여부를 제어할 수 있다. tabID, idx를 parameter로 받는다.
- onbeforetabmove: tab이동이 발생하기 직전에 발생한다. info.startTabID, startTabIndex, endTabID, endTabIndex를 포함한 오브젝트를 반환한다.
- onchange: 선택된 tab이 변경된 경우에 발생한다. tabID, idx, userTabID를 parameter로 받는다.
- ondrawcomplete: alwaysDraw=""false""일 때, content의 wframe 또는 iframe이 화면에 load되는 시점에 발생한다. tabID, idx, userID를 parameter로 받는다.
- onscrollleftbtnclick: 왼쪽 tab 이동 버튼을 클릭하면 발생한다.
- onscrollrightbtnclick: 오른쪽 tab 이동 버튼을 클릭하면 발생한다.
- onsubmenubtnclick: submenu 버튼을 클릭하면 발생한다.
- ontabclick: tab이 클릭된 경우 발생한다. tabID, idx를 parameter로 받는다.
- ontabclose: close버튼이 클릭된 경우 발생한다. tabID, idx를 parameter로 받는다.
- ontabload: content의 wframe 또는 iframe이 화면에 완전히 load되는 시점에 발생한다. tabID, idx, userID를 parameter로 받는다.
메소드
- activateTab(idx): 지정한 index의 탭이 비활성화 상태인 경우(alwaysDraw=false) 활성화 상태로 변경.
- addClass(className): 컴포넌트에 CSS class를 추가.
- addTab(id, tabOpt, contOpt): tab을 추가하는 기능으로 tab과 content의 세부 생성 옵션을 설정할 수 있다. id, tabOpt, contOpt를 parameter로 받으며, Promise 객체를 반환한다.",521
4,"이 함수들은 웹스퀘어 컴포넌트에서 사용되는 함수들이며, 각 함수의 기능과 사용 방법이 설명되어 있다. 함수의 이름, 매개변수, 반환 값 등을 확인하여 사용하면 된다. 예제 코드를 참고하여 함수를 사용하는 방법을 익힐 수 있다. 함수의 이름과 매개변수를 정확히 입력하고, 반환 값의 형식을 확인하여 사용해야 한다. 함수의 사용 방법을 잘 익혀서 웹스퀘어 컴포넌트를 효율적으로 개발할 수 있도록 하자.",179
5,"getPosition( ) 함수: 컴포넌트의 위치 값을 반환한다. positionName 파라미터에 ""left"" 또는 ""top"" 값을 입력하여 각각 x, y 좌표 값을 반환할 수 있다.
getReadOnly( ) 함수: 컴포넌트의 readOnly 속성 값을 반환한다.
getScope( ) 함수: scope=""true""인 WFrame의 자식 컴포넌트인 경우, 부모 WFrame 객체를 반환한다. 그렇지 않은 경우, null을 반환한다.
getScopeWindow( ) 함수: scope=""true""인 WFrame의 자식 컴포넌트인 경우, 부모 WFrame 객체를 반환한다. 그렇지 않은 경우, 전역 window 객체를 반환한다.
getSelectedTabID( ) 함수: 현재 선택된 tab의 ID를 반환한다.
getSelectedTabIndex( ) 함수: 현재 선택된 tab의 index를 반환한다.
getSize( ) 함수: 컴포넌트의 크기 값을 반환한다. sizeName 파라미터에 ""height"", ""innerHeight"", ""outerHeight"", ""outerMarginHeight"", ""width"", ""innerWidth"", ""outerWidth"", ""outerMarginWidth"" 값을 입력하여 각각 높이, 너비 값을 반환할 수 있다.
getStyle( ) 함수: 컴포넌트의 CSS 속성 값을 반환한다. propertyName 파라미터에 CSS 속성 이름을 입력하여 해당 속성 값을 반환할 수 있다.
getStyleValue( ) 함수: [deprecated]getStyle 함수를 사용하는 것이 권장된다. 컴포넌트에 적용된 해당 CSS 속성 값을 반환한다.
getTabCount( ) 함수: 현재 tab의 개수를 반환한다. options 파라미터에 ""hiddenTab"" 값을 입력하여 hideTab으로 숨겨진 탭을 전체 개수에 포함할지 여부를 설정할 수 있다.
getTabID( ) 함수: tab index에 해당하는 ID를 반환한다.
getTabIndex( ) 함수: tab의 ID로 해당 tab의 index를 반환한다.
getTabInfo( ) 함수: 각 tab에 대한 정보를 배열에 담아 반환한다. id, label, defaultTabIndex, currentTabIndex, src, alwaysDraw 정보를 포함한다.
getTitle( ) 함수: 컴포넌트의 title 속성 값을 반환한다.
getUdcHome( ) 함수: UDC 객체가 자신을 정의한 UDC 파일 경로를 파일명을 포함해서 반환한다. 파일명은 마지막 .xml까지 포함한다. .xml을 제외한 경로는 getUdcRoot를 사용해서 반환한다. UDC 객체가 아닌 컴포넌트에서 호출된 경우에는 undefined가 반환된다.
getUdcRoot( ) 함수: UDC 객체가 자신을 정의한 UDC 파일 경로를 반환한다. 파일명을 포함하지 않는다. 파일명을 포함한 경로는 getUdcHome을 사용해서 반환한다. UDC 객체가 아닌 컴포넌트에서 호출된 경우에는 undefined가 반환된다.
getUserData( ) 함수: setUserData로 웹스퀘어 컴포넌트에 설정한 key의 value 혹은 사용자가 직접 페이지 소스(XML)에 속성으로 정의한 value를 반환한다.
getWindow( ) 함수: tab index 또는 id에 해당하는 window 객체를 반환한다. 반환된 객체를 통해 웹스퀘어 컴포넌트 및 function, 변수 등에 접근이 가능하다. idx 인자가 없을 경우 현재 선택된 tab의 window content를 반환한다.
hasClass( ) 함수: 웹스퀘어 컴포넌트가 특정 class를 포함하고 있는지 확인한다.
hide( ) 함수: 웹스퀘어 컴포넌트를 화면에서 숨긴다. display:none; 및 visibility:hidden; CSS를 적용한다.",949
6,"이 문서는 웹스퀘어 컴포넌트에서 사용되는 함수들에 대한 설명을 제공한다. 각 함수는 파라미터와 리턴 타입을 가지며, SP5에서는 일부 함수가 비동기 함수로 변경되었다. 이에 따라 호출하는 함수들은 async function이 되어야 한다. 함수들은 각각 hideTab, isLoaded, removeClass, setContentsHeight, setDisabled, setEventPause, setHeight, setInitStyle, setLabelText, setOpacity, setPosition, setReadOnly, setSelectedTabIndex, setStyle, setTabHTML, setTabOrder 등이 있다. 각 함수의 파라미터와 리턴 타입은 문서에서 확인할 수 있다.",177
7,"tabControl1.setTabOrder() 함수는 탭의 순서를 변경하는 함수이다. 이 함수는 배열을 인자로 받으며, 해당 배열의 길이는 tab 전체의 길이와 같아야 하고, 각 원소는 탭의 id여야 한다.
setUserData() 함수는 웹스퀘어 컴포넌트에 임의의 데이터를 설정하는 함수이다. 이 함수는 컴포넌트에 설정 가능한 key를 입력해야 하며, 설정 가능한 key가 아닌 경우 해당 내용이 로그에 출력된다.
setWidth() 함수는 tabControl의 width를 설정하는 함수이다. 이 함수는 px 단위로 적용되며, 숫자가 아닌 값이 오면 무시된다.
setWindowMaxNum() 함수는 tabControl에서 열 수 있는 최대 window 개수를 설정하는 함수이다.
show() 함수는 웹스퀘어 컴포넌트를 화면에 표시하는 함수이다. 이 함수는 CSS display 속성을 주어진 값으로 설정하고 ""visibility: show;""를 적용한다.
showTab() 함수는 (SP5 async) hide된 tab을 보여주는 함수이다. 이 함수는 비동기 함수로 변경되었으며, 이 함수의 호출을 포함하는 함수들은 async function이 되어야 한다.
toggleClass() 함수는 웹스퀘어 컴포넌트에서 특정 class를 제거하거나 추가하는 함수이다. 이 함수는 웹스퀘어 컴포넌트가 파라미터로 주어진 class를 포함한 경우 해당 class를 제거하고, 파라미터로 주어진 class가 없는 경우 해당 class를 추가한다.
trigger() 함수는 컴포넌트에서 특정 이벤트를 발생시키는 함수이다. 이 함수는 이벤트 핸들러에 전달할 파라미터 배열을 인자로 받는다.
unbind() 함수는 컴포넌트에서 이벤트를 제거하는 함수이다. 이 함수는 제거할 이벤트와 핸들러 함수를 인자로 받는다.
visible() 함수는 (deprecated) 엔진 내부적으로 CSS visibility 속성을 설정하는 함수이다. 이 함수는 show/hide 혹은 setStyle 사용을 권장하며, true/false 값을 인자로 받는다.",602
8,"이 문서는 Snippets 템플릿 기본 구성에 대한 가이드이다. Snippets는 웹스퀘어에서 제공하는 템플릿 파일로, 화면 구성을 쉽게 할 수 있도록 도와준다. 이 가이드에서는 Snippets 템플릿 파일의 구성 요소와 폴더명, Class명, 설명 등을 설명한다.
Snippets 템플릿 구성 요소는 화면 시작(Layout), 화면 분할(Layout), 화면 상단 공통, 검색 영역, 화면 타이틀, Table, GridView, 전체 버튼, 컴포넌트 등이 있다. 각 구성 요소는 다양한 기능을 제공하며, 화면 구성을 쉽게 할 수 있도록 도와준다.
Snippets 폴더명과 Class명은 각 구성 요소의 이름을 나타낸다. 예를 들어, 화면 시작(Layout)의 폴더명은 ""00.화면시작(Layout)""이고, Class명은 ""sub_content""이다. 이와 같이 각 구성 요소의 폴더명과 Class명을 이용하여 Snippets를 사용할 수 있다.
이 가이드에서는 Snippets 템플릿 파일의 구성 요소와 폴더명, Class명, 설명 등을 설명하였다. Snippets를 사용하면 화면 구성을 쉽게 할 수 있으며, 각 구성 요소의 다양한 기능을 활용하여 원하는 화면을 만들 수 있다.",430
9,"Snippets 불러오기는 Snippets View에서 Import Snippets 아이콘을 클릭하여 수행합니다. 이때, 가져올 Snippets가 있는 위치를 설정하고 등록되어 있지 않은 Snippets 목록만 보여집니다. import가 완료되면 자동으로 Snippets View에 등록되며, 경로를 수정하기 위해서는 선택한 Snippet을 마우스 우클릭하여 수정 메뉴에서 경로를 수정할 수 있습니다. 새로운 Project를 생성하거나 기존 Project에 Snippets를 Import할 경우, Snippets에 사용되는 CSS가 존재해야 합니다.",163
