,유형,component,name,description,parameter,return,exception,sample,built since,built last
0,method,$p,$,jQuery selector를 인자로 받아 jQuery 객체를 반환한다. <br />id selector를 인자로 받은 경우 해당 id가 함수를 호출한 페이지에 있는 웹스퀘어 객체인 경우 웹스퀘어 객체의 실제 id로 변환한 다음 함수를 실행한다.,,Object	jQuery 객체,,"$p.$(""#group1"").wq(""invoke"", ""setDisabled"", ""true""); // 스크립트가 실행된 페이지의 group1 객체를 찾아 group1.invoke(""setDisabled"", ""true""); 를 실행",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
1,method,$p,URLEncoder,주어진 문자열을 `application/x-www-form-urlencoded` MIME 형식의 문자열로 변환합니다.,str	String	Y	문자열,String	변환된 application/x-www-form-urlencoded MIME Format문자열을 반환합니다,,"<xmp  class='js sample'>var encodeStr = $p.URLEncoder( ""문자열"" );
//return 예시 ) ""%b9%ae%c0%da%bf%ad""</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
2,method,$p,ajax,submission과 비슷한 기능을 제공하는 통신 모듈로 submission에 비해 자유도가 높다.<br />request/response 데이터의 type은 string이며 js로 된 암/복호화 모듈을 연동하기 쉬운 구조로 되어있다.,"options	JSON	Y	JSON형태 객체<br />
<xmp class='js description'><String:Y> options.action : ajax 요청주소
<String:N> options.mode : [default: asynchronous,synchronous]
<String:Y> options.mediatype : [default: application/xml, application/x-www-form-urlencoded,  application/json, text/xml]
<String:N> options.method : [default: POST, GET, PUT, DELETE]
<String:N> options.requestData : 요청본문
<JSON:N> options.requestHeader : request header에 지정 할 JOSN객체
<Number:N> options.timeout : ajax요청후 timeout 시간. 이시간이 초과해도 응답이 오지 않는 경우 error callback함수를 실행
<String:N> options.type : [xml, json] xml인 경우 success callback함수의 인자객체의 responseBody속성에 xml객체가 설정된고, json인 경우 자바스크립트 객체가 설정된다.나머지 경우는 text형식이 설정.
<Function:N> options.beforeAjax : 요청전에 실행되는 함수로 이 함수내에서 false를 return하면 ajax요청을 하지 않는다
<Function:N> options.success : 요청이 성공한 경우 실행되는 callback함수
<Function:N> options.error : 요청이 실패한 경우 실행되는 callback함수</xmp>",	,,"<xmp  class='js sample'>var options = {};
options.action = ""/test.jsp"";
options.mode = ""asynchronous"";
options.mediatype = ""text/json"";
options.method = ""POST"";
options.requestData = '{ ""name"" : ""WebSquare"" , ""addr"" : ""서울시"" }';
options.requestHeader = {insUserData:""w5Edu""};
options.success = doSucess;     //정의 된 function 객체
options.error = function( e ){      //functoin을 직접 정의 한 경우.
    //e.errorType - ""target-error"" 고정값 반환
    //e.resourceUri - 통신 URI 반환
    //e.responseHeaders - Response Headers 내용 반환
    //e.responseStatusCode - Response Status Code 반환
    //e.responseReasonPhrase - Response Status Text 반환
    //e.requestBody - Request Data로 String 형태 반환
    //e.responseText - Response Data 원본으로 String 형태 반환

    //satus code alert으로 출력.
    alert(""errorCode:""+e.responseStatusCode);
};
$p.ajax( options );

//위의 예시 중 options.success에 지정 한 callback Function 정의 형태.
function doSucess( e ){

    //e는 웹스퀘어 엔진에서 통신 후 결과를 담을 JSON 객체이다.
    //e.resourceUri - 통신 URI 반환
    //e.responseHeaders - Response Headers 내용 반환
    //e.responseStatusCode - Response Status Code 반환
    //e.responseReasonPhrase - Response Status Text 반환
    //e.responseBody - Response Data를 XML 데이터로 parse 한 XML 객체 반환.( Response Content-Type이 JSON 인 경우 json객체를 XML로 parse)
    //e.responseText - Response Data 원본으로 String 형태 반환

    //responseText를 alert으로 출력.
    alert(""success\n""+e.responseText);
}</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
3,method,$p,clearInterval,$p.setInterval으로 등록된 Interval 객체를 해제합니다.,"keyName	String	Y	key로 지정한 값. ( $p.setInterval API 호출 시 options에 등록 한 key명)
force	Boolean	N	keyName으로 지정 된 Interval 객체를 해제하기 전 해당 함수를 한 번 실행할지에 대한 여부. 기본값은 false.",	,,"<xmp  class='js sample'>//$p.setInterval API를 호출 시 options.key의 값이 ""timer1"" 로 정의 한 경우.
$p.clearInterval(""timer1"");</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
4,method,$p,clearPage,"브라우저를 초기 상태로 되돌리는 함수이며, 이 함수를 사용하여 웹스퀘어 엔진 및 리소스를 다시 로드합니다. 이 함수는 주로 spa 모드에서 사용되며, 브라우저 초기화가 필요한 경우 onpageunload 이벤트에서 호출됩니다. spa 모드에서 메모리 릭이 발생하는 컴포넌트를 사용하고 있는 경우, 해당 페이지의 body에 onpageunload 이벤트를 등록하고 이 함수를 호출하여 사용할 수 있습니다. 이 함수는 $p.url(WebSquare.baseURI + ""blank.xml"", {spa:true, forceReload:true})를 호출하는 것과 동일합니다. Editor 컴포넌트나 Chart 컴포넌트 등 spa 모드에서 사용됩니다.",,	,,"<xmp  class='js sample'><body>
    <script type=""javascript"" ev:event=""onpageunload""><![CDATA[
        $p.clearPage(); // 브라우저를 갱신하여 초기상태로 되돌린다. 이 경우 웹스퀘어 엔진 및 리소스를 새로 로딩하게 된다.
    ]]></script>
</body></xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
5,method,$p,clearTimeout,$p.setTimer를 사용하여 등록된 함수를 직접 clearTimeout할 수 있습니다.,"key	String	Y	$p.setTimer로 등록할 때 options.key로 지정 한 키값.
force	Boolean	N	setTimer로 등록된 함수를 실행할지에 대한 여부. 기본값은 false.",	,,"<xmp  class='js sample'>//$p.setTimer API의 options.key 의 값이 ""timer1"" 인 경우.
$p.clearTimeout(""timer1"");</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
6,method,$p,closePopup,"openPopup 및 createPopup API를 사용하여 팝업의 ID를 할당한 경우, 해당 ID의 팝업을 찾아서 닫을 수 있습니다.",id	String	Y	popup의 id,	,,"<xmp  class='js sample'>
$p.closePopup(""popup1"");</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
7,method,$p,createSubmission,submission을 동적으로 생성합니다.,"submissionObj	JSON	Y	등록할 submission객체. 속성은 아래와 같습니다.<br />
<xmp class='js description'> <String:Y> submissionObj.id : submission 객체의 ID. 통신 모듈 실행 시 필요.
 <String:N> submissionObj.ref : 서버로 보 낼(request) DataCollection의 조건 표현식.(조건에 때라 표현식이 복잡하다) 또는 Instance Data의 XPath.
 <String:N> submissionObj.target : 서버로 응답(response) 받은 데이터가 위치 할 DataCollection의 조건 표현식. 또는 Instance Data의 XPath.
 <String:N> submissionObj.action : 통신 할 서버 측 URI.(브라우저 보안 정책으로 crossDomain은 지원되지 않는다.)
 <String:N> submissionObj.method : [default: post, get, urlencoded-post] get:파라메타를 url에 붙이는 방식 (HTML과 동일).  post:파라메타를 body 구간에 담는 방식 (HTML과 동일).  urlencoded-post:urlencoded-post.
 <String:N> submissionObj.mediatype : [default: application/xml, text/xml, application/json, application/x-www-form-urlencoded] application/x-www-form-urlencoded : 웹 form 방식(HTML방식). application/json : json 방식. application/xml : XML 방식. text/xml : xml방식 (두 개 차이는 http://stackoverflow.com/questions/4832357 참조)
 <String:N> submissionObj.mode : [default: synchronous, synchronous] 서버와의 통신 방식.  asynchronous:비동기식.  synchronous:동기식
 <String:N> submissionObj.encoding : [default: utf-8, euc-kr, utf-16] 서버 측 encoding 타입 설정 (euc-kr/utf-16/utf-8)
 <String:N> submissionObj.replace : [default: none, all, instance] action으로부터 받은 response data를 적용 구분 값.  all : 문서 전체를 서버로부터 온 응답데이터로 교체.  Instance : 해당되는 데이터 구간.  None : 교체안함.
 <String:N> submissionObj.processMsg : submission 통신 중 보여줄 메세지.
 <String:N> submissionObj.errorHandler : submission오류 발생 시 실행 할 함수명.
 <String:N> submissionObj.customHandler : submssion호출 시 실행 할 함수명.
 <Function:N> submissionObj.submitHandler : ev:event=""xforms-submit""에 대응하는 함수.
 <Function:N> submissionObj.submitDoneHandler : ev:event=""xforms-submit-done""에 대응하는 함수
 <Function:N> submissionObj.submitErrorHandler : ev:event=""xforms-submit-error""에 대응하는 함수</xmp>",	,,"<xmp  class='js sample'>var submissionObj = {
    ""id"" : ""submission_dynamic0"",
    ""ref"" : ""data:json,dc_reqDataMap"",
    ""target"" : ""data:json,dc_resDataMap"",
    ""action"" : ""/data/sampleData.json"",
    ""method"" : ""post"",
    ""mediatype"" : ""application/json"",
    ""encoding"" : ""UTF-8"",
    ""mode"" : ""asynchronous"",
    ""processMsg"" : ""processing ~ ~ ~ "",
    ""submitDoneHandler"" : function(e) { alert(e.responseText); },
    ""submitErrorHandler"" : function(e) { alert(e.responseStatusCode); }
    };
    $p.createSubmission( submissionObj );</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
8,method,$p,dateAdd,날짜에 오프셋을 더합니다. (date + offset),"day1	String	Y	지정 날짜
offset	Number	Y	목표 날짜와의 편차",String	offset에 정의 된 수 많큼 더거나 뺀 날짜,,"<xmp  class='js sample'>var tmpDate1 = $p.dateAdd( 20120102, 7 );
return; //예시 ) tmpDate1 : 20120109

var tmpDate2 = $p.dateAdd( 20140101, -7 );
return; //예시 ) tmpDate2 : 20131225</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
9,method,$p,dateDiff,날짜 범위 내의 일 수를 반환합니다. (from - to),"startDate	String	Y	시작 날짜
endDate	String	Y	끝 날짜",Number	두 날짜의 차이,,"<xmp  class='js sample'>var diff = $p.dateDiff( ""20120120"", ""20120210"" );
return; //예시 ) diff : 21</xmp>",5.0_3.3377A.20181128.161740,5.0_5.4811B.20230203.095105
