,link,type,text
0,e9fc0aa13b009f35,normal,"WebSquare5는 엔진과 스튜디오(개발도구)로 구성됩니다. 스튜디오는 웹스퀘어 화면 파일을 개발할 수 있는 환경을 제공하고, 엔진은 웹스퀘어 화면 파일을 브라우저에 표시합니다."
1,0f8de5b0bd7e0ac5,normal,"웹스퀘어 스튜디오는 WYSIWYG 방식의 통합 개발 도구로, 개발자는 컴포넌트 그리기, 스크립트 추가, 화면 확인, 디버깅을 한번에 수행할 수 있습니다."
2,8e4473e53b3e07a6,normal,Window OS 만 지원합니다.
3,0b0d04fcf2954c06,unordered_list,"* 최소 JRE(JDK) 1.8.0_2xx 이상 필요. (하위 버전을 사용할 경우 IntelliWeb Designer가 보이지 않을 수 있음.)
** openjdk-1.8.0.242-1.b08.x86_64 : 해당 jdk 버전의 버그로 인해 Eclipse 프로젝트가 정상 생성되지 않고 WebSquare 스튜디오가 비정상 동작. (다른 버전의 사용을 권장.)
* open jdk (zulu)
** jdk 11.0.1 ~ 11.0.6 (해당 버전까지만 동작.)
* oracle jdk
** jdk 11.0.0 ~ 11.0.13"
4,efdb8460f029fc5e,note,기존 웹스퀘어 스튜디오 버전에서 제공되던 jre 포함 버전은 미지원.
5,2206e205f081d543,definition_list,"(1) 인스톨러 준비
사용자 PC 사양에 맞는 인스톨러를 제공 받으십시오. 
(2) <strong>Java 1.8 준비</strong>
WebSquare Studio IWD는 Java 1.8 이상에서 동작합니다. 
+ 사용자 PC에 Java 1.8 이상을 설치하십시오. 
(3) <strong>기존 스튜디오 삭제</strong>
기존에 설치된 스튜디오가 있을 경우, 설치된 스튜디오를 먼저 제거하십시오.
+ 단, workspace 폴더는 삭제하지 말고 계속 사용하십시오. 
(4) <strong>32-bit (x86) 인스톨러 사용</strong>
64-bit OS에서 32-bit JRE를 사용하려면, 32-bit (x86) 인스톨러를 실행하십시오."
6,f49f0c47a5926441,ordered_list,"# 인스톨러를 실행합니다.


# <strong>다음</strong>을 클릭합니다."
7,ba786a37a37abdc5,ordered_list,# <strong>동의함</strong>을 클릭합니다.
8,5fe9de36ef6d7c2c,ordered_list,# WebSquare Studio IWD는Java 1.8 이상에서 동작합니다. Java 경로를 bin 폴더까지 지정한 후 <strong>다음</strong>을 클릭합니다.
9,2605a7082ad4c50f,ordered_list,"# 설치 경로를 지정합니다.
# <strong>설치</strong>를 클릭합니다."
10,a0e8d0f154532c66,ordered_list,# 아래와 같이 설치가 진행됩니다.
11,7ebdffa6b51049fc,ordered_list,# <strong>다음</strong>을 클릭합니다.
12,c19f14274b364ad1,ordered_list,# 성공적으로 설치되면 아래와 같은 화면이 나타납니다.
13,be5301784a46fb61,ordered_list,# Studio를 실행하십시오.
14,83558a2ca6cf5cd8,ordered_list,# Workspace를 지정합니다.
15,104106c5a6d45c9b,ordered_list,# Studio가 시작되고 아래와 같이 웰컴 페이지가 표시됩니다. 각 항목을 클릭하면 해당 내용을 확인할 수 있습니다.
16,a751c7317c73c472,ordered_list,"# <strong>Help</strong> ­ <strong>웹스퀘어 라이선스 등록</strong>을 선택하여, 라이선스를 입력합니다."
17,6a6cffd695488ac2,ordered_list,# 라이선스가 등록되면 아래와같은 창이 나타납니다.
18,2f10aa690daf31c2,normal,WebSquare5 Studio를 설치하려는 PC에 JDK(Java Develoment Kit) v1.8 버전이 설치되어 있어야 합니다.
