step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,329,1,0.09319242380146334,0.0,0.0,0.050101209310663024,0.0,0.0,,,,,,
2,658,2,0.08157627165490207,0.0,0.0,,,,,,,,,
3,1843,3,0.04162319599268985,0.0,0.0,,,,,,,,,
4,1948,4,0.12754412462502773,0.0,0.0,,,,,,,,,
5,2149,5,0.07955392300294625,0.0,0.0,,,,,,,,,
6,2806,6,0.03729107997301404,0.0,0.0,,,,,,,,,
7,3327,7,0.038458988801576194,0.0,0.0,,,,,,,,,
8,3528,8,0.0431354276335449,1.0,1.0,,,,,,,,,
9,3809,9,0.036998656441411835,1.0,1.0,0.03968963609277125,1.0,1.0,,,,,,
10,4026,10,0.04321143549242859,1.0,1.0,,,,,,,,,
11,4787,11,0.0305367581935555,1.0,1.0,,,,,,,,,
12,5148,12,0.04337576981405275,1.0,1.0,,,,,,,,,
13,5605,13,0.033353501929924964,1.0,1.0,,,,,,,,,
14,6262,14,0.037594892342100894,1.0,1.0,,,,,,,,,
15,6375,15,0.040695860052876794,1.0,1.0,,,,,,,,,
16,6528,16,0.04750586148194423,1.0,1.0,,,,,,,,,
17,7201,17,0.03225985890352084,1.0,1.0,0.03446412804709723,1.0,1.0,,,,,,
18,7314,18,0.03023798767409403,1.0,1.0,,,,,,,,,
19,7739,19,0.026838140030797045,1.0,1.0,,,,,,,,,
20,7852,20,0.0300820018327704,1.0,1.0,,,,,,,,,
21,8269,21,0.03370890164961356,1.0,1.0,,,,,,,,,
22,9062,22,0.031767568221582616,1.0,1.0,,,,,,,,,
23,9279,23,0.047286524956458985,0.0,0.0,,,,,,,,,
24,11128,24,0.025651282650009332,1.0,1.0,,,,,,,,,
25,11737,25,0.030607095386884265,1.0,1.0,0.03923876891568458,1.0,1.0,,,,,,
26,11978,26,0.03472517098595077,1.0,1.0,,,,,,,,,
27,12219,27,0.023038486037471252,1.0,1.0,,,,,,,,,
28,12740,28,0.029794978794517545,1.0,1.0,,,,,,,,,
29,13437,29,0.035158504055799004,1.0,1.0,,,,,,,,,
30,14134,30,0.025306723958487494,1.0,1.0,,,,,,,,,
31,14911,31,0.030550950447591887,1.0,1.0,,,,,,,,,
32,15184,32,0.029997157757288197,1.0,1.0,,,,,,,,,
33,15297,33,0.02679533862035247,1.0,1.0,0.03195346844210712,1.0,1.0,,,,,,
34,15362,34,0.03771851994834833,1.0,1.0,,,,,,,,,
